-1.541370, 0.604757, -0.392201, 2.887541
-1.448390, 0.567940, -0.360312, 3.022901
-1.354232, 0.534251, -0.326657, 3.152453
-1.258986, 0.503771, -0.293557, 3.276887
-1.162804, 0.476384, -0.262772, 3.396767
-1.065862, 0.451822, -0.234795, 3.512558
-0.968298, 0.429857, -0.209777, 3.624653
-0.870248, 0.410174, -0.188289, 3.733385
-0.771829, 0.392420, -0.170037, 3.839039
-0.673125, 0.376329, -0.154656, 3.941863
-0.574206, 0.361611, -0.142275, 4.042072
-0.475133, 0.347968, -0.132482, 4.139856
-0.375944, 0.335190, -0.124954, 4.235384
-0.276676, 0.323041, -0.119927, 4.328804
-0.177364, 0.311260, -0.117370, 4.420250
-0.078035, 0.299618, -0.116791, 4.509843
0.021290, 0.287953, -0.117148, 4.597690
0.120611, 0.276240, -0.117498, 4.683889
0.219928, 0.264505, -0.117677, 4.768531
0.319245, 0.252757, -0.117381, 4.851696
0.418569, 0.241081, -0.116378, 4.933460
0.517909, 0.229532, -0.115043, 5.013890
0.617264, 0.218121, -0.113658, 5.093050
0.716635, 0.206848, -0.112013, 5.170999
0.816027, 0.195763, -0.110116, 5.247790
0.915441, 0.184867, -0.108639, 5.323473
1.014865, 0.174076, -0.108076, 5.398095
1.114291, 0.163292, -0.108419, 5.471700
1.213708, 0.152433, -0.109152, 5.544328
1.313117, 0.141503, -0.110055, 5.616016
1.412515, 0.130465, -0.111760, 5.686801
1.511886, 0.119196, -0.114691, 5.756715
1.611217, 0.107575, -0.118701, 5.825791
1.710495, 0.095509, -0.123106, 5.894057
1.809720, 0.083014, -0.127393, 5.961541
1.908891, 0.070098, -0.131742, 5.957945
2.008003, 0.056739, -0.136248, 5.856365
2.107054, 0.042930, -0.140278, 5.752991
2.206055, 0.028773, -0.143276, 5.647726
2.305021, 0.014370, -0.145258, 5.540461
2.403966, -0.000179, -0.145691, 5.431077
2.502919, -0.014668, -0.144291, 5.319445
2.601904, -0.028939, -0.141475, 5.205420
2.700938, -0.042870, -0.137241, 5.088840
2.800040, -0.056304, -0.131088, 4.969527
2.899237, -0.069015, -0.121993, 4.847277
2.998566, -0.080644, -0.108454, 4.721864
3.098070, -0.090664, -0.088966, 4.593029
3.197775, -0.098413, -0.063339, 4.460477
3.297659, -0.103323, -0.033000, 4.323864
3.397648, -0.105011, 0.000514, 4.182792
3.497635, -0.103220, 0.036397, 4.036795
3.597487, -0.097735, 0.074329, 3.910882
3.697050, -0.088370, 0.114357, 3.789027
3.796141, -0.074918, 0.157066, 3.663061
3.894540, -0.057094, 0.202998, 3.527296
3.991977, -0.034608, 0.252582, 3.389876
4.088124, -0.007131, 0.306569, 3.260287
4.182567, 0.025723, 0.365307, 3.146048
4.274826, 0.064278, 0.428530, 3.061999
4.364368, 0.108777, 0.495432, 3.013530
4.450657, 0.159294, 0.563836, 2.999584
4.533292, 0.215589, 0.631409, 3.022617
4.611990, 0.277273, 0.696856, 3.079582
4.686573, 0.343874, 0.759090, 3.162217
4.757006, 0.414853, 0.817467, 3.269513
4.823326, 0.489692, 0.871734, 3.389643
4.885659, 0.567886, 0.921509, 3.505662
4.944215, 0.648949, 0.966461, 3.617964
4.999277, 0.732426, 1.007255, 3.726886
5.051033, 0.817994, 1.046021, 3.832714
5.099465, 0.905485, 1.084632, 3.930931
5.144465, 0.994790, 1.123494, 3.935859
5.185957, 1.085778, 1.162366, 3.942456
5.223885, 1.178309, 1.201102, 3.972605
5.258211, 1.272235, 1.239302, 4.025220
5.288967, 1.367391, 1.276132, 4.111751
5.316287, 1.463590, 1.311070, 4.207912
5.340324, 1.560663, 1.343624, 4.301925
5.361329, 1.658437, 1.373160, 4.393927
5.379593, 1.756760, 1.399936, 4.484043
5.395334, 1.855520, 1.424256, 4.572383
5.408796, 1.954616, 1.445767, 4.659050
5.420275, 2.053962, 1.464311, 4.744133
5.430054, 2.153491, 1.479981, 4.827718
5.438414, 2.253148, 1.493037, 4.909880
5.445591, 2.352899, 1.504169, 4.990690
5.451731, 2.452718, 1.513648, 5.070212
5.457016, 2.552587, 1.521139, 5.148506
5.461659, 2.652487, 1.526437, 5.225628
5.465885, 2.752406, 1.529391, 5.301627
5.469938, 2.852333, 1.529961, 5.376553
5.474051, 2.952257, 1.528401, 5.450449
5.478415, 3.052170, 1.525209, 5.523356
5.483166, 3.152065, 1.520991, 5.595313
5.488373, 3.251938, 1.516380, 5.666356
5.494044, 3.351786, 1.512339, 5.736520
5.500059, 3.451613, 1.509806, 5.805836
5.506236, 3.551431, 1.508795, 5.874334
5.512452, 3.651246, 1.509032, 5.942042
5.518582, 3.751066, 1.510506, 6.000000
5.524504, 3.850900, 1.513387, 6.000000
5.530059, 3.950754, 1.517936, 6.000000
5.535072, 4.050636, 1.523551, 6.000000
5.539505, 4.150546, 1.529056, 6.000000
5.543419, 4.250478, 1.533509, 6.000000
5.546961, 4.350424, 1.536005, 6.000000
5.550376, 4.450374, 1.535948, 6.000000
5.553930, 4.550319, 1.534037, 6.000000
5.557727, 4.650256, 1.531578, 6.000000
5.561772, 4.750183, 1.528952, 6.000000
5.566094, 4.850098, 1.526148, 6.000000
5.570700, 4.950000, 1.523079, 6.000000
5.575634, 5.049887, 1.518565, 6.000000
5.581142, 5.149743, 1.511293, 5.904458
5.587529, 5.249547, 1.501675, 5.801941
5.594956, 5.349279, 1.490974, 5.697581
5.603477, 5.448923, 1.480148, 5.591273
5.613062, 5.548471, 1.470169, 5.482904
5.623570, 5.647926, 1.462085, 5.372349
5.634764, 5.747306, 1.456260, 5.259471
5.646429, 5.846632, 1.452282, 5.144116
5.658413, 5.945920, 1.450319, 5.026115
5.670469, 6.045199, 1.450659, 4.905275
5.682385, 6.144495, 1.453332, 4.781383
5.693909, 6.243837, 1.459146, 4.654194
5.704670, 6.343264, 1.469669, 4.523431
5.714102, 6.442826, 1.486545, 4.388774
5.721501, 6.542558, 1.510424, 4.249855
5.726168, 6.642454, 1.541206, 4.106241
5.727417, 6.742448, 1.578175, 3.957421
5.724693, 6.842412, 1.619456, 3.802784
5.717691, 6.942168, 1.662988, 3.674609
5.706285, 7.041515, 1.708298, 3.584082
5.690285, 7.140225, 1.755937, 3.507690
5.669479, 7.238035, 1.805934, 3.427336
5.643706, 7.334654, 1.858022, 3.355618
5.612843, 7.429768, 1.912461, 3.301729
5.576724, 7.523012, 1.969049, 3.262890
5.535317, 7.614030, 2.026569, 3.235290
5.488734, 7.702511, 2.084230, 3.217596
5.437129, 7.788161, 2.142014, 3.208569
5.380654, 7.870680, 2.200438, 3.206963
5.319416, 7.949728, 2.259418, 3.209935
5.253623, 8.025028, 2.317898, 3.218811
5.183578, 8.096391, 2.375435, 3.238469
5.109573, 8.163638, 2.432150, 3.257143
5.031900, 8.226615, 2.488026, 3.271316
4.950857, 8.285190, 2.543626, 3.288634
4.866676, 8.339159, 2.599255, 3.313680
4.779630, 8.388374, 2.654104, 3.348477
4.690045, 8.432802, 2.707266, 3.402145
4.598266, 8.472503, 2.758239, 3.493470
4.504623, 8.507584, 2.806841, 3.606151
4.409423, 8.538190, 2.851615, 3.715417
4.313013, 8.564758, 2.887496, 3.821563
4.215857, 8.588461, 2.910735, 3.924843
4.118312, 8.610522, 2.925001, 4.025476
4.020517, 8.631445, 2.935376, 4.123654
