-1.612653, 0.535997, -0.466506, 2.746981
-1.521633, 0.494587, -0.390546, 2.885418
-1.427838, 0.459910, -0.321300, 3.020867
-1.331966, 0.431460, -0.259938, 3.150504
-1.234622, 0.408523, -0.207490, 3.275019
-1.136290, 0.390266, -0.164412, 3.394975
-1.037327, 0.375790, -0.130543, 3.510837
-0.937979, 0.364230, -0.105476, 3.622999
-0.838412, 0.354731, -0.088334, 3.731793
-0.738724, 0.346583, -0.077555, 3.837505
-0.638974, 0.339233, -0.072022, 3.940382
-0.539201, 0.332188, -0.070740, 4.040640
-0.439432, 0.325094, -0.072339, 4.138471
-0.339683, 0.317730, -0.076082, 4.234042
-0.239970, 0.309889, -0.081684, 4.327502
-0.140310, 0.301408, -0.088616, 4.418986
-0.040715, 0.292185, -0.096103, 4.508614
0.058807, 0.282213, -0.103061, 4.596495
0.158264, 0.271606, -0.108829, 4.682727
0.257664, 0.260486, -0.113111, 4.767399
0.357026, 0.249027, -0.115496, 4.850594
0.456373, 0.237433, -0.116245, 4.932386
0.555718, 0.225825, -0.116026, 5.012843
0.655070, 0.214275, -0.114962, 5.092029
0.754439, 0.202879, -0.112852, 5.170003
0.853839, 0.191748, -0.110220, 5.246818
0.953267, 0.180875, -0.107980, 5.322524
1.052715, 0.170190, -0.106544, 5.397169
1.152174, 0.159602, -0.105753, 5.470795
1.251639, 0.149074, -0.105316, 5.543443
1.351107, 0.138573, -0.105707, 5.615152
1.450564, 0.127968, -0.107529, 5.685956
1.549993, 0.117104, -0.110814, 5.755889
1.649378, 0.105846, -0.115194, 5.824983
1.748708, 0.094112, -0.119985, 5.893267
1.847981, 0.081901, -0.124739, 5.960768
1.947195, 0.069224, -0.129520, 5.927866
2.046346, 0.056064, -0.134217, 5.825749
2.145437, 0.042455, -0.138294, 5.721809
2.244477, 0.028488, -0.141151, 5.615946
2.343489, 0.014313, -0.142159, 5.508049
2.442501, 0.000146, -0.141020, 5.397995
2.541544, -0.013804, -0.138317, 5.285651
