-2.970449,-1.343870,-0.100929
-2.930751,-1.348495,-0.115984
-2.891054,-1.353120,-0.129068
-2.851490,-1.358782,-0.142223
-2.811928,-1.364450,-0.153511
-2.772503,-1.371004,-0.164850
-2.733079,-1.377567,-0.174371
-2.693786,-1.384871,-0.183923
-2.654495,-1.392186,-0.191712
-2.615320,-1.400101,-0.199516
-2.576148,-1.408028,-0.205663
-2.537074,-1.416424,-0.211808
-2.498002,-1.424832,-0.216386
-2.459006,-1.433585,-0.220947
-2.420013,-1.442350,-0.224087
-2.381073,-1.451347,-0.227197
-2.342135,-1.460354,-0.229048
-2.303228,-1.469496,-0.230859
-2.264323,-1.478644,-0.231555
-2.225429,-1.487840,-0.232204
-2.186535,-1.497038,-0.231930
-2.147637,-1.506213,-0.231608
-2.108737,-1.515386,-0.230531
-2.069819,-1.524477,-0.229405
-2.030899,-1.533563,-0.227714
-1.991950,-1.542522,-0.225976
-1.952999,-1.551472,-0.223860
-1.914012,-1.560266,-0.221705
-1.875022,-1.569049,-0.219344
-1.835995,-1.577659,-0.216954
-1.796964,-1.586255,-0.214519
-1.757895,-1.594675,-0.212067
-1.718822,-1.603079,-0.209719
-1.679714,-1.611315,-0.207366
-1.640602,-1.619536,-0.205253
-1.601459,-1.627607,-0.203149
-1.562313,-1.635663,-0.201392
-1.523142,-1.643596,-0.199660
-1.483969,-1.651516,-0.198379
-1.444777,-1.659349,-0.197138
-1.405584,-1.667172,-0.196393
-1.366382,-1.674947,-0.195701
-1.327178,-1.682715,-0.195563
-1.287973,-1.690479,-0.195492
-1.248768,-1.698242,-0.195991
-1.209570,-1.706045,-0.196564
-1.170374,-1.713853,-0.197696
-1.131195,-1.721744,-0.198910
-1.092018,-1.729648,-0.200658
-1.052866,-1.737676,-0.202494
-1.013719,-1.745723,-0.204825
-0.974605,-1.753934,-0.207245
-0.935497,-1.762170,-0.210096
-0.896430,-1.770604,-0.213031
-0.857371,-1.779070,-0.216330
-0.818361,-1.787761,-0.219709
-0.779360,-1.796491,-0.223374
-0.740415,-1.805468,-0.227112
-0.701480,-1.814489,-0.231040
-0.662607,-1.823772,-0.235026
-0.623746,-1.833103,-0.239137
-0.584950,-1.842705,-0.243298
-0.546167,-1.852359,-0.247495
-0.507454,-1.862286,-0.251725
-0.468754,-1.872268,-0.255932
-0.430126,-1.882520,-0.260161
-0.391512,-1.892829,-0.264314
-0.352970,-1.903402,-0.268477
-0.314443,-1.914032,-0.272525
-0.275988,-1.924917,-0.276574
-0.237548,-1.935859,-0.280483
-0.199179,-1.947044,-0.284386
-0.160827,-1.958285,-0.288166
-0.122543,-1.969760,-0.291942
-0.084277,-1.981291,-0.295618
-0.046079,-1.993047,-0.299294
-0.007898,-2.004858,-0.302919
0.030214,-2.016891,-0.306556
0.068308,-2.028980,-0.310208
0.106331,-2.041291,-0.313890
0.144335,-2.053660,-0.317689
0.182263,-2.066259,-0.321546
0.220171,-2.078921,-0.325625
0.257995,-2.091830,-0.329794
